folder,out_path,num_files,total_tokens,avg_tokens_per_file,total_sentences,avg_sentences_per_file,total_pairs,avg_pairs_per_file
conllu/conllu_file/en/His,conllu/conllu_file/en/His/MERGED_His.conllu,15,33622,2241.47,1660,110.67,174,11.60
conllu/conllu_file/en/Sci,conllu/conllu_file/en/Sci/MERGED_Sci.conllu,22,59151,2688.68,3028,137.64,168,7.64
conllu/conllu_file/en/Psy,conllu/conllu_file/en/Psy/MERGED_Psy.conllu,17,44969,2645.24,2522,148.35,198,11.65
conllu/conllu_file/en/Edu,conllu/conllu_file/en/Edu/MERGED_Edu.conllu,15,40788,2719.20,2000,133.33,180,12.00
conllu/conllu_file/en/Art,conllu/conllu_file/en/Art/MERGED_Art.conllu,16,41990,2624.38,2137,133.56,296,18.50
conllu/conllu_file/en/Med,conllu/conllu_file/en/Med/MERGED_Med.conllu,17,46943,2761.35,2382,140.12,203,11.94
conllu/conllu_file/en/Bus,conllu/conllu_file/en/Bus/MERGED_Bus.conllu,16,37702,2356.38,2105,131.56,175,10.94
conllu/conllu_file/en/Tech,conllu/conllu_file/en/Tech/MERGED_Tech.conllu,25,46824,1872.96,2304,92.16,134,5.36
conllu/conllu_file/en/Ent,conllu/conllu_file/en/Ent/MERGED_Ent.conllu,15,35102,2340.13,2006,133.73,164,10.93
conllu/conllu_file/en/Pol,conllu/conllu_file/en/Pol/MERGED_Pol.conllu,17,48391,2846.53,2334,137.29,231,13.59
conllu/conllu_file/en/Phi,conllu/conllu_file/en/Phi/MERGED_Phi.conllu,15,46776,3118.40,2564,170.93,174,11.60
conllu/conllu_file/de/His,conllu/conllu_file/de/His/MERGED_His.conllu,15,31532,2102.13,1660,110.67,272,18.13
conllu/conllu_file/de/Sci,conllu/conllu_file/de/Sci/MERGED_Sci.conllu,22,54849,2493.14,3028,137.64,307,13.95
conllu/conllu_file/de/Psy,conllu/conllu_file/de/Psy/MERGED_Psy.conllu,17,41821,2460.06,2522,148.35,324,19.06
conllu/conllu_file/de/Edu,conllu/conllu_file/de/Edu/MERGED_Edu.conllu,15,37007,2467.13,2000,133.33,346,23.07
conllu/conllu_file/de/Art,conllu/conllu_file/de/Art/MERGED_Art.conllu,16,38655,2415.94,2137,133.56,387,24.19
conllu/conllu_file/de/Med,conllu/conllu_file/de/Med/MERGED_Med.conllu,17,44546,2620.35,2382,140.12,278,16.35
conllu/conllu_file/de/Bus,conllu/conllu_file/de/Bus/MERGED_Bus.conllu,16,35368,2210.50,2105,131.56,310,19.38
conllu/conllu_file/de/Tech,conllu/conllu_file/de/Tech/MERGED_Tech.conllu,25,42946,1717.84,2304,92.16,223,8.92
conllu/conllu_file/de/Ent,conllu/conllu_file/de/Ent/MERGED_Ent.conllu,15,33148,2209.87,2006,133.73,276,18.40
conllu/conllu_file/de/Pol,conllu/conllu_file/de/Pol/MERGED_Pol.conllu,17,45871,2698.29,2334,137.29,322,18.94
conllu/conllu_file/de/Phi,conllu/conllu_file/de/Phi/MERGED_Phi.conllu,15,44765,2984.33,2564,170.93,263,17.53
