language,discipline,adjective,count
en,Art,good,62
en,Art,new,58
en,Art,other,46
en,Art,own,44
en,Art,more,42
en,Art,different,38
en,Art,first,37
en,Art,old,33
en,Art,great,33
en,Art,little,31
en,Edu,good,79
en,Edu,other,60
en,Edu,new,56
en,Edu,more,53
en,Edu,many,48
en,Edu,high,42
en,Edu,first,41
en,Edu,little,33
en,Edu,own,32
en,Edu,great,31
en,His,first,55
en,His,other,49
en,His,great,48
en,His,good,42
en,His,many,38
en,His,little,35
en,His,old,31
en,His,more,31
en,His,new,30
en,His,last,27
en,Ent,good,64
en,Ent,little,49
en,Ent,same,43
en,Ent,real,38
en,Ent,first,36
en,Ent,more,35
en,Ent,right,33
en,Ent,social,33
en,Ent,other,31
en,Ent,old,25
en,Bus,good,80
en,Bus,more,65
en,Bus,different,57
en,Bus,right,49
en,Bus,other,46
en,Bus,new,44
en,Bus,great,43
en,Bus,many,40
en,Bus,first,32
en,Bus,same,31
en,Psy,good,92
en,Psy,other,86
en,Psy,more,69
en,Psy,bad,60
en,Psy,little,45
en,Psy,same,45
en,Psy,old,43
en,Psy,many,41
en,Psy,first,39
en,Psy,new,33
en,Med,good,82
en,Med,other,72
en,Med,new,61
en,Med,more,59
en,Med,first,50
en,Med,many,47
en,Med,medical,44
en,Med,little,38
en,Med,different,38
en,Med,bad,37
de,Art,gut,74
de,Art,eigen,35
de,Art,erst,31
de,Art,ganz,31
de,Art,groß,30
de,Art,alt,29
de,Art,wichtig,29
de,Art,letzt,29
de,Art,neu,29
de,Art,paar,26
de,Edu,gut,86
de,Edu,neu,39
de,Edu,wichtig,39
de,Edu,erst,38
de,Edu,groß,35
de,Edu,klein,34
de,Edu,ganz,29
de,Edu,tatsächlich,26
de,Edu,weit,24
de,Edu,spät,24
de,His,gut,55
de,His,groß,49
de,His,klein,45
de,His,erst,44
de,His,ganz,24
de,His,alt,23
de,His,letzt,22
de,His,neu,22
de,His,wichtig,20
de,His,weit,19
de,Ent,gut,64
de,Ent,tatsächlich,35
de,Ent,erst,34
de,Ent,groß,33
de,Ent,nah,31
de,Ent,klein,29
de,Ent,ganz,29
de,Ent,echt,26
de,Ent,einfach,25
de,Ent,neu,22
de,Bus,gut,105
de,Bus,groß,55
de,Bus,neu,39
de,Bus,tatsächlich,35
de,Bus,verschieden,31
de,Bus,richtig,29
de,Bus,wichtig,29
de,Bus,ganz,29
de,Bus,einfach,28
de,Bus,letzt,27
de,Psy,gut,104
de,Psy,ganz,43
de,Psy,tatsächlich,35
de,Psy,groß,33
de,Psy,letzt,33
de,Psy,alt,33
de,Psy,erst,31
de,Psy,schlecht,30
de,Psy,klein,30
de,Psy,wichtig,28
de,Med,gut,94
de,Med,neu,70
de,Med,groß,61
de,Med,erst,50
de,Med,ganz,38
de,Med,paar,33
de,Med,klein,32
de,Med,letzt,32
de,Med,lang,30
de,Med,nah,30
