word,overall_count,en_count,de_count
so,4657,2972,1685
have,2934,2933,1
person,2093,1894,199
haben,2039,0,2039
go,2023,2017,6
do,1907,1905,2
also,1666,448,1218
get,1539,1539,0
geben,1534,0,1534
be,1428,1427,1
think,1412,1412,0
know,1390,1390,0
say,1364,1364,0
sagen,1342,0,1342
when,1339,1338,1
now,1284,1282,2
make,1284,1283,1
see,1274,1231,43
just,1254,1254,0
sehen,1244,0,1244
how,1178,1178,0
thing,1157,1157,0
more,1088,1088,0
machen,1078,0,1078
gut,1055,17,1038
auch,1054,0,1054
year,1050,1049,1
mensch,1048,0,1048
kind,1031,507,524
time,1018,1017,1
jahr,1005,0,1005
nur,977,0,977
dann,954,0,954
wissen,934,0,934
hier,921,0,921
want,891,891,0
really,879,879,0
take,877,877,0
world,871,854,17
denken,871,0,871
leben,868,0,868
good,865,864,1
way,861,860,1
other,838,838,0
look,833,833,0
very,820,820,0
come,815,815,0
problem,796,394,402
work,795,791,4
then,791,791,0
tun,788,0,788
gehen,784,0,784
here,775,775,0
sehr,752,0,752
life,717,711,6
kommen,707,0,707
noch,706,0,706
right,688,686,2
actually,679,679,0
welt,660,0,660
new,658,543,115
art,644,173,471
where,637,637,0
use,631,631,0
werden,623,0,623
groß,620,0,620
nun,601,2,599
wie,601,0,601
first,594,590,4
need,591,591,0
tell,589,589,0
ganz,566,0,566
talk,559,556,3
even,556,556,0
wirklich,552,0,552
give,549,549,0
find,548,548,0
immer,530,0,530
call,514,514,0
erst,513,0,513
happen,504,504,0
why,503,503,0
zeit,502,0,502
leute,502,0,502
neu,497,0,497
einfach,481,0,481
ding,473,1,472
finden,466,0,466
jetzt,439,0,439
zeigen,426,0,426
sein,425,0,425
warum,411,0,411
mehr,406,0,406
vielleicht,402,0,402
frage,392,0,392
lassen,379,0,379
lernen,376,0,376
glauben,376,0,376
