language,discipline,word,count
en,Art,so,293
en,Art,have,268
en,Art,know,195
en,Art,person,180
en,Art,go,171
en,Art,say,169
en,Art,do,168
en,Art,when,131
en,Art,get,120
en,Art,just,113
en,Edu,have,222
en,Edu,go,197
en,Edu,so,193
en,Edu,when,144
en,Edu,school,139
en,Edu,get,138
en,Edu,do,134
en,Edu,say,115
en,Edu,be,112
en,Edu,more,110
en,His,so,210
en,His,have,187
en,His,go,146
en,His,person,133
en,His,say,131
en,His,be,100
en,His,do,95
en,His,year,90
en,His,when,90
en,His,think,86
en,Ent,so,273
en,Ent,have,222
en,Ent,go,194
en,Ent,get,139
en,Ent,do,134
en,Ent,person,134
en,Ent,make,133
en,Ent,thing,116
en,Ent,see,115
en,Ent,think,114
en,Bus,have,237
en,Bus,person,236
en,Bus,do,177
en,Bus,so,168
en,Bus,go,144
en,Bus,make,132
en,Bus,say,119
en,Bus,think,115
en,Bus,more,112
en,Bus,get,110
en,Psy,person,320
en,Psy,so,280
en,Psy,have,254
en,Psy,go,208
en,Psy,do,200
en,Psy,when,198
en,Psy,get,168
en,Psy,say,152
en,Psy,how,151
en,Psy,think,150
en,Med,have,325
en,Med,so,314
en,Med,go,197
en,Med,do,183
en,Med,person,157
en,Med,now,157
en,Med,get,156
en,Med,know,149
en,Med,year,132
en,Med,time,132
de,Art,haben,197
de,Art,so,160
de,Art,sagen,143
de,Art,also,130
de,Art,dann,121
de,Art,geben,118
de,Art,machen,106
de,Art,wissen,100
de,Art,gehen,99
de,Art,sehen,95
de,Edu,haben,153
de,Edu,so,120
de,Edu,geben,117
de,Edu,sagen,111
de,Edu,lernen,111
de,Edu,auch,97
de,Edu,machen,94
de,Edu,schule,93
de,Edu,gut,93
de,Edu,nur,91
de,His,haben,131
de,His,sagen,113
de,His,so,104
de,His,geben,91
de,His,jahr,90
de,His,geschichte,86
de,His,mensch,86
de,His,leben,77
de,His,sehen,75
de,His,gehen,71
de,Ent,haben,171
de,Ent,so,168
de,Ent,sehen,132
de,Ent,also,128
de,Ent,geben,108
de,Ent,dann,104
de,Ent,machen,103
de,Ent,jahr,87
de,Ent,wissen,83
de,Ent,mensch,82
de,Bus,haben,166
de,Bus,geben,147
de,Bus,so,131
de,Bus,gut,116
de,Bus,sagen,115
de,Bus,machen,100
de,Bus,sehen,98
de,Bus,mensch,93
de,Bus,jahr,88
de,Bus,also,87
de,Psy,mensch,169
de,Psy,haben,163
de,Psy,so,157
de,Psy,sagen,156
de,Psy,also,121
de,Psy,sehen,117
de,Psy,auch,116
de,Psy,geben,115
de,Psy,gut,113
de,Psy,machen,111
de,Med,haben,233
de,Med,so,181
de,Med,also,158
de,Med,geben,131
de,Med,jahr,131
de,Med,nun,115
de,Med,sagen,114
de,Med,machen,114
de,Med,sehen,110
de,Med,hier,106
