discipline,word,count
Transcripts_Philosophy,so,177
Transcripts_Philosophy,auch,150
Transcripts_Philosophy,haben,143
Transcripts_Philosophy,sagen,104
Transcripts_Philosophy,machen,102
Transcripts_Philosophy,dann,94
Transcripts_Philosophy,sein,76
Transcripts_Philosophy,immer,73
Transcripts_Philosophy,noch,71
Transcripts_Philosophy,da,71
Transcripts_Philosophy,also,70
Transcripts_Philosophy,mensch,69
Transcripts_Philosophy,jetzt,66
Transcripts_Philosophy,mal,64
Transcripts_Philosophy,vielleicht,64
Transcripts_Philosophy,nur,59
Transcripts_Philosophy,leben,59
Transcripts_Philosophy,gut,57
Transcripts_Philosophy,geben,57
Transcripts_Philosophy,fehler,55
